,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,1.0,0.995735733274,0.992960450356,0.995917609277,0.995596147956,0.994954693981,0.995661225374,0.992341479233,0.995694579513,0.995864031208
ucr,0.995735733274,1.0,0.992643941494,0.996526815843,0.997234858964,0.995111817191,0.99589086713,0.992370799609,0.995858737248,0.996714357994
ucrC,0.992960450356,0.992643941494,1.0,0.994053110712,0.991472210251,0.994132265966,0.99391909627,0.997675439245,0.99463767485,0.994201821479
ucrss,0.995917609277,0.996526815843,0.994053110712,1.0,0.996129550809,0.996035111319,0.996789468336,0.993735977406,0.996858664616,0.997033981096
ucrss_wfilter,0.995596147956,0.997234858964,0.991472210251,0.996129550809,1.0,0.994251393341,0.995429265297,0.99124110844,0.995604258089,0.996436177988
uc_fast,0.994954693981,0.995111817191,0.994132265966,0.996035111319,0.994251393341,1.0,0.996529807473,0.994057462573,0.996509627949,0.996298987323
ucr_fast,0.995661225374,0.99589086713,0.99391909627,0.996789468336,0.995429265297,0.996529807473,1.0,0.993591259883,0.996812144293,0.996927474427
ucrC_fast,0.992341479233,0.992370799609,0.997675439245,0.993735977406,0.99124110844,0.994057462573,0.993591259883,1.0,0.994279240321,0.993997689831
ucrss_fast,0.995694579513,0.995858737248,0.99463767485,0.996858664616,0.995604258089,0.996509627949,0.996812144293,0.994279240321,1.0,0.996822424481
ucrss_fast_wfilter,0.995864031208,0.996714357994,0.994201821479,0.997033981096,0.996436177988,0.996298987323,0.996927474427,0.993997689831,0.996822424481,1.0
