,uc,ucr,ucrC,ucrss,ucrss_wfilter,uc_fast,ucr_fast,ucrC_fast,ucrss_fast,ucrss_fast_wfilter
uc,1.0,0.947875195527,0.879872842058,0.909483459406,0.924237774797,0.935258864253,0.933533676229,0.876867009533,0.924938235208,0.912960923549
ucr,0.947875195527,1.0,0.90466174359,0.946051588973,0.94702466469,0.947314294966,0.952570394097,0.902627073371,0.938154996949,0.932401197531
ucrC,0.879872842058,0.90466174359,1.0,0.925964041598,0.888274330157,0.882333959075,0.907653102709,0.972994435326,0.910431899631,0.895664023371
ucrss,0.909483459406,0.946051588973,0.925964041598,1.0,0.931844067187,0.923371443765,0.934915855629,0.915024566319,0.930893746866,0.928528876564
ucrss_wfilter,0.924237774797,0.94702466469,0.888274330157,0.931844067187,1.0,0.943087284641,0.946176815562,0.884304965789,0.932177678158,0.926690610468
uc_fast,0.935258864253,0.947314294966,0.882333959075,0.923371443765,0.943087284641,1.0,0.942244314422,0.882958494509,0.940950796717,0.939832056059
ucr_fast,0.933533676229,0.952570394097,0.907653102709,0.934915855629,0.946176815562,0.942244314422,1.0,0.908362431729,0.942923417422,0.931862520937
ucrC_fast,0.876867009533,0.902627073371,0.972994435326,0.915024566319,0.884304965789,0.882958494509,0.908362431729,1.0,0.904094655818,0.905611473491
ucrss_fast,0.924938235208,0.938154996949,0.910431899631,0.930893746866,0.932177678158,0.940950796717,0.942923417422,0.904094655818,1.0,0.952920741569
ucrss_fast_wfilter,0.912960923549,0.932401197531,0.895664023371,0.928528876564,0.926690610468,0.939832056059,0.931862520937,0.905611473491,0.952920741569,1.0
